Filters,,,,,,,,,,
Region filter: All,,,,,,,,,,
Infection type filter: Bloodstream,,,,,,,,,,
Bacterial pathogen filter: Acinetobacter spp.,,,,,,,,,,
Antibiotic filter: Amikacin,,,,,,,,,,
,,,,,,,,,,
Data for time series,,,,,,,,,,
Year,Specimen,PathogenName,AbTargets,Min,Q1,Median,Q3,Max,,
2018,BLOOD,Acinetobacter spp.,Amikacin,0,23.07830182,46.49907938,66.34668893,92.36641221,,
2019,BLOOD,Acinetobacter spp.,Amikacin,0,9.097096189,40.54794521,70.04207806,91.11111111,,
2020,BLOOD,Acinetobacter spp.,Amikacin,0,13.33333333,56.22119816,76.61097852,94.82758621,,
2021,BLOOD,Acinetobacter spp.,Amikacin,0,16.75,46.36635374,73.48598913,98.11320755,,
2022,BLOOD,Acinetobacter spp.,Amikacin,0,13.44383057,49.5701668,74.85294118,100,,
2023,BLOOD,Acinetobacter spp.,Amikacin,0,12.22058044,47.82367838,66.59681845,94.41860465,,
,,,,,,,,,,
,,,,,,,,,,
Data for line plots for individual CTAs,,,,,,,,,,
Iso3,CountryTerritoryArea,WHORegionName,Year,Specimen,PathogenName,AbTargets,TotalSpecimenIsolates,InterpretableAST,Resistant,PercentResistant
ARG,Argentina,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Amikacin,7385,347,78,22.47838617
BIH,Bosnia and Herzegovina,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,841,131,121,92.36641221
BRA,Brazil,Region of the Americas,2018,BLOOD,Acinetobacter spp.,Amikacin,314,32,13,40.625
ETH,Ethiopia,African Region,2018,BLOOD,Acinetobacter spp.,Amikacin,122,15,4,26.66666667
GEO,Georgia,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,216,28,20,71.42857143
IND,India,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Amikacin,14459,1862,1188,63.80236305
IDN,Indonesia,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Amikacin,1381,205,51,24.87804878
IRN,Iran (Islamic Republic of),Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,1826,611,320,52.37315876
JPN,Japan,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Amikacin,126859,1745,12,0.687679083
XKX,Kosovo,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,164,60,52,86.66666667
NPL,Nepal,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Amikacin,1202,103,26,25.24271845
MKD,North Macedonia,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,176,21,14,66.66666667
OMN,Oman,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,631,55,32,58.18181818
PAK,Pakistan,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,7410,199,57,28.64321608
PHL,Philippines,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Amikacin,5595,664,148,22.28915663
KOR,Republic of Korea,Western Pacific Region,2018,BLOOD,Acinetobacter spp.,Amikacin,3519,247,138,55.87044534
RUS,Russian Federation,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,427,76,67,88.15789474
SAU,Saudi Arabia,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,2420,290,227,78.27586207
ZAF,South Africa,African Region,2018,BLOOD,Acinetobacter spp.,Amikacin,20691,1797,1175,65.3867557
CHE,Switzerland,European Region,2018,BLOOD,Acinetobacter spp.,Amikacin,19539,121,6,4.958677686
THA,Thailand,South-East Asia Region,2018,BLOOD,Acinetobacter spp.,Amikacin,2629,312,96,30.76923077
ARE,United Arab Emirates,Eastern Mediterranean Region,2018,BLOOD,Acinetobacter spp.,Amikacin,2452,17,3,17.64705882
ARG,Argentina,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Amikacin,5783,275,76,27.63636364
BIH,Bosnia and Herzegovina,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,1020,221,199,90.04524887
BRA,Brazil,Region of the Americas,2019,BLOOD,Acinetobacter spp.,Amikacin,606,54,33,61.11111111
ETH,Ethiopia,African Region,2019,BLOOD,Acinetobacter spp.,Amikacin,139,10,4,40
GEO,Georgia,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,433,38,21,55.2631579
IND,India,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Amikacin,24223,1245,867,69.63855422
IDN,Indonesia,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2314,305,98,32.13114754
IRN,Iran (Islamic Republic of),Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2277,526,360,68.44106464
JPN,Japan,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Amikacin,136246,1596,12,0.751879699
XKX,Kosovo,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,151,45,41,91.11111111
NPL,Nepal,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2380,365,150,41.09589041
MKD,North Macedonia,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,276,34,24,70.58823529
OMN,Oman,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,1007,135,68,50.37037037
PAK,Pakistan,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,8980,331,216,65.25679758
PHL,Philippines,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Amikacin,6468,731,161,22.0246238
KOR,Republic of Korea,Western Pacific Region,2019,BLOOD,Acinetobacter spp.,Amikacin,3646,225,134,59.55555556
RUS,Russian Federation,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,1173,118,95,80.50847458
SAU,Saudi Arabia,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2528,274,206,75.18248175
ZAF,South Africa,African Region,2019,BLOOD,Acinetobacter spp.,Amikacin,20489,1529,1073,70.176586
CHE,Switzerland,European Region,2019,BLOOD,Acinetobacter spp.,Amikacin,10424,54,3,5.555555556
THA,Thailand,South-East Asia Region,2019,BLOOD,Acinetobacter spp.,Amikacin,5463,489,131,26.78936605
ARE,United Arab Emirates,Eastern Mediterranean Region,2019,BLOOD,Acinetobacter spp.,Amikacin,2464,15,5,33.33333333
ARG,Argentina,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Amikacin,7376,626,167,26.67731629
BIH,Bosnia and Herzegovina,European Region,2020,BLOOD,Acinetobacter spp.,Amikacin,954,348,330,94.82758621
BRA,Brazil,Region of the Americas,2020,BLOOD,Acinetobacter spp.,Amikacin,584,65,51,78.46153846
ETH,Ethiopia,African Region,2020,BLOOD,Acinetobacter spp.,Amikacin,431,60,8,13.33333333
GEO,Georgia,European Region,2020,BLOOD,Acinetobacter spp.,Amikacin,741,80,50,62.5
IND,India,South-East Asia Region,2020,BLOOD,Acinetobacter spp.,Amikacin,12371,1590,1088,68.42767296
