Name,Family,Usage,Popular Brand Name
Amoxicillin,Penicillin,"Bacterial infections (ear, nose, throat, skin)","Amoxil, Trimox"
Ciprofloxacin,Fluoroquinolone,"Bacterial infections (UTI, respiratory)",Cipro
Doxycycline,Tetracycline,"Bacterial infections, acne, malaria prophylaxis","Vibramycin, Oracea"
Azithromycin,Macrolide,"Bacterial infections (respiratory, skin)","Zithromax, Z-Pak"
Cephalexin,Cephalosporin,"Bacterial infections (skin, bone, ear)",Keflex
Trimethoprim/Sulfamethoxazole,Sulfonamide,"UTIs, MRSA infections","Bactrim, Septra"
Levofloxacin,Fluoroquinolone,"Bacterial infections (pneumonia, UTI, skin)",Levaquin
Clindamycin,Lincosamide,"Bacterial infections (skin, soft tissue)",Cleocin
Metronidazole,Nitroimidazole,"Bacterial and protozoal infections (anaerobic bacteria, trichomoniasis)",Flagyl
Penicillin V,Penicillin,"Streptococcal infections (throat), pneumococcal infections",Veetids
Vancomycin,Glycopeptide,"MRSA infections, severe infections",Vancocin
Erythromycin,Macrolide,"Respiratory tract infections, syphilis",Erythrocin
Tetracycline,Tetracycline,"Acne, bacterial infections",Sumycin
Amikacin,Aminoglycoside,Severe hospital-acquired infections,Amikin
Gentamicin,Aminoglycoside,Severe hospital-acquired infections,Garamycin
Linezolid,Oxazolidinone,"MRSA infections, VRE infections",Zyvox
Nitrofurantoin,Nitrofuran,Urinary tract infections,"Macrobid, Furadantin"
Rifampin,Rifamycin,"Tuberculosis, leprosy",Rifadin
Tobramycin,Aminoglycoside,Severe hospital-acquired infections,Tobrex
Minocycline,Tetracycline,"Acne, bacterial infections",Minocin
Moxifloxacin,Fluoroquinolone,"Respiratory tract infections, conjunctivitis",Avelox
Daptomycin,Lipopeptide,"Skin infections, bloodstream infections",Cubicin
Tigecycline,Glycylcycline,Complicated skin and intra-abdominal infections,Tygacil
Fosfomycin,Phosphonic acid,UTIs,Monurol
Colistin,Polymyxin,Multi-drug resistant infections,"Colomycin, Polymyxin E"
Meropenem,Carbapenem,Severe bacterial infections,Merrem
Isoniazid,Antimycobacterial,Tuberculosis,Nydrazid
Ethambutol,Antimycobacterial,Tuberculosis,Myambutol
Piperacillin/Tazobactam,Penicillin,"Intra-abdominal infections, pneumonia",Zosyn
Ceftriaxone,Cephalosporin,"Bacterial infections, meningitis",Rocephin
Ceftazidime,Cephalosporin,"Bacterial infections, pneumonia","Fortaz, Tazicef"
Ceftaroline,Cephalosporin,"Skin infections, pneumonia",Teflaro
Cefepime,Cephalosporin,Hospital-acquired infections,Maxipime
Imipenem/Cilastatin,Carbapenem,Severe bacterial infections,Primaxin
Aztreonam,Monobactam,Gram-negative bacterial infections,Azactam
Teicoplanin,Glycopeptide,"Skin infections, MRSA infections",Targocid
